collection_id,sequence_id,resource_id,title,description,is_deleted
0008d66a-753f-4639-8634-81bb3abb3269,3,2ee6f80f-0851-4cfa-b4bf-2655e9c46ab7,Solve the Linear equation: _______,"<p>Solve the Linear equation:<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B4%7D%3D%5Cfrac%7B%7B%7B6%7D%2B%7Bp%7D%7D%7D%7B%7B2%7D%7D"" title=""4 = (6 + p)/2"" style=""vertical-align: middle;""> </span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bp%7D%3D"" title=""p ="" style=""vertical-align: middle;""> </span> [2]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,1,231eb4ad-d0e8-4e94-a552-f8bd2358a47a,Solve the linear equation: _______,"<p><span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;"">Solve the linear equation:  <span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;""><img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle-%7B4%7D%7Bx%7D%2B%7B12%7D%3D%7B10%7D"" title=""-4x + 12 = 10"" style=""vertical-align: middle;""></span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [1/2] . Please write your answer as a fraction.<br></span> </p><br>",f
0008d66a-753f-4639-8634-81bb3abb3269,4,81c6995c-dd95-418e-a8c4-c22d8ccd32e9,Solve the linear equation: _______,"<p>Solve the linear equation:<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B0%7D%3D%5Cfrac%7B%7Bx%7D%7D%7B%7B3%7D%7D%2B%7B6%7D"" title=""0 = x/3 + 6"" style=""vertical-align: middle;""> </span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [-18]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,5,15a464a4-a2d8-41dd-b00e-ff7fea0aa720,"If , then _______","<p>If<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle-%7B20%7D%3D%7B6%7D%7Bv%7D%2B%7B4%7D"" title=""-20 = 6v + 4"" style=""vertical-align: middle;""> </span> , then<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [-4]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,2,0b248202-12a9-405b-acd1-4ab8250e4198,"If , then _______","<p><span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;"">If <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B3%7D-%7B5%7D%7Bx%7D%3D%7B2%7D"" title=""3 - 5x = 2"" style=""vertical-align: middle;""> </span>, then <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span>[1/5]. &nbsp;Please write your answer as a fraction.</span></p><br>",f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,13,c6e0deec-21ae-43ec-9df3-6e7cb4b25b45,How much more cloth is needed,"4
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>yards of cloth are needed to make a woman’s dress. 2
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{7}</span>$$\frac{2}{7}$$</span></span>
yards of cloth are needed to make a girl’s
dress. How much more cloth is needed to make a woman’s dress than a girl’s dress?",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,9,d6de75ea-f05a-49d8-94bc-0f1b1c554dc2,How much orange juice does she have left,"Meiling has 1<span class=""gru-math-expression""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{4}</span>$$\frac{1}{4}$$</span></span> liter of orange juice. She drinks <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
liter. How much orange juice does she have left?
(Extension: If her brother then drinks twice as much as Meiling , how much is left?)",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,12,53f88343-e1e2-4837-97f1-e64806760648,How much more of the candy bar,"

Sandy ate <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{6}</span>$$\frac{1}{6}$$</span></span>of a candy bar. John ate <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{4}</span>$$\frac{3}{4}$$</span></span>
of it. How much more of the candy bar did John eat than Sandy?<br>",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,10,b8f06235-3dae-42f8-a61f-aaf5e691ad50,Harlan used 3 1/2 kg of sand to make a large,"Harlan used 3
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>
kg of sand to make a large hourglass. To make a smaller hourglass, he only used 1
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{7}</span>$$\frac{3}{7}$$</span></span>
kg
of sand. How much more sand did it take to make the large hourglass than the smaller one?",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,2,8b9c50e6-e568-48f7-afee-91f46c8fb523,Subtracting Fractions from Whole Numbers,,f
